Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates (Headcount)
2015/16,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Artists,1
2015/16,The Chinese University of Hong Kong,Taught postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2015/16,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,2
2015/16,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,24
2015/16,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,12
2015/16,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,165
2015/16,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,6
2015/16,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2015/16,The Chinese University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,2
2015/16,The Chinese University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,4
2015/16,The Chinese University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,4
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,186
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,1
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,42
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,18
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",120
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,672
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,41
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",73
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,11
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineers,103
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),38
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",30
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Legal Workers,16
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Managers,51
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,412
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,5
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,88
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Service Workers,5
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,17
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,16
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,4
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,25
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Religious Workers,3
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,18
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,193
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Teaching Profession,293
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,46
2015/16,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,10
2015/16,The Chinese University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,617
2015/16,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,57
2015/16,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,91
2015/16,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,89
2015/16,The Education University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,4
2015/16,The Education University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,2
2015/16,The Education University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,1
2015/16,The Education University of Hong Kong,Sub-degree,FT employment,Other Service Workers,2
2015/16,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,200
2015/16,The Education University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,17
2015/16,The Education University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,2
2015/16,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,20
2015/16,The Education University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,1
2015/16,The Education University of Hong Kong,Taught postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2015/16,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,2
2015/16,The Education University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2015/16,The Education University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,2
2015/16,The Education University of Hong Kong,Taught postgraduate,FT employment,System Analysts and Computer Programmers,1
2015/16,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,121
2015/16,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2015/16,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,3
2015/16,The Education University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,3
2015/16,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,6
2015/16,The Education University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Artists,4
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",7
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Business Professionals,31
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,29
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,1
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),1
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",1
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Managers,6
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,1
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,10
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Other Service Workers,5
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,4
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Religious Workers,2
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,12
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,5
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Teaching Profession,462
2015/16,The Education University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,6
2015/16,The Education University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,52
2015/16,The Education University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,8
2015/16,The Education University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,40
2015/16,The Education University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,13
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Business Professionals,5
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",9
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineers,3
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Managers,1
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Medical and Health Workers,1
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Physical and Life Science Technicians,4
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Production and Related Workers,1
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2015/16,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Teaching Profession,15
2015/16,The Hong Kong Polytechnic University,Research postgraduate,Further studies,Not in Full-time Employment,4
2015/16,The Hong Kong Polytechnic University,Research postgraduate,Others,Not in Full-time Employment,5
2015/16,The Hong Kong Polytechnic University,Research postgraduate,Underemployed,Not in Full-time Employment,4
2015/16,The Hong Kong Polytechnic University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Architects and Surveyors,21
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Artists,9
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,"Authors, Journalists and Related Writers",1
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Business Professionals,27
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Clerical and Related Workers,1
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,"Economists, Statisticians and Mathematicians",1
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineering Technicians,13
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineers,15
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,"Insurance, Real Estate, and Business Services",1
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Managers,1
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Medical and Health Workers,6
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Professionals and Technical Workers,1
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Service Workers,7
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Science Technicians,3
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Sales/Service Workers,4
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,System Analysts and Computer Programmers,8
2015/16,The Hong Kong Polytechnic University,Sub-degree,FT employment,Teaching Profession,3
2015/16,The Hong Kong Polytechnic University,Sub-degree,Further studies,Not in Full-time Employment,605
2015/16,The Hong Kong Polytechnic University,Sub-degree,Others,Not in Full-time Employment,9
2015/16,The Hong Kong Polytechnic University,Sub-degree,Underemployed,Not in Full-time Employment,40
2015/16,The Hong Kong Polytechnic University,Sub-degree,Unemployed,Not in Full-time Employment,14
2015/16,The Hong Kong Polytechnic University,Taught postgraduate,FT employment,Medical and Health Workers,1
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Accountants and Auditors,221
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Architects and Surveyors,125
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,214
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",29
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,741
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,14
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",44
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,17
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,445
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Government Officials (General Grades),4
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",24
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,13
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,543
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,72
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,69
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,51
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Scientists,8
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Production and Related Workers,23
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,15
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Religious Workers,3
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,39
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,158
2015/16,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,55
2015/16,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,166
2015/16,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,56
2015/16,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,200
2015/16,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,93
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Accountants and Auditors,1
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,11
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",1
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineering Technicians,1
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,27
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Managers,10
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Medical and Health Workers,1
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Science Technicians,6
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,5
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,112
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,3
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,92
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,117
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,6
2015/16,The Hong Kong University of Science and Technology,Research postgraduate,Unemployed,Not in Full-time Employment,6
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,140
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,11
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Architects and Surveyors,3
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Authors, Journalists and Related Writers",8
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,579
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,17
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",12
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,16
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineers,332
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Officials (General Grades),19
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",16
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Managers,22
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Medical and Health Workers,17
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Professionals and Technical Workers,7
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Service Workers,4
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Science Technicians,21
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Scientists,23
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Production and Related Workers,6
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Protective Service Workers,12
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Sales/Service Workers,29
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,System Analysts and Computer Programmers,207
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Teaching Profession,79
2015/16,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers not reporting any occupation,31
2015/16,The Hong Kong University of Science and Technology,Undergraduate,Further studies,Not in Full-time Employment,238
2015/16,The Hong Kong University of Science and Technology,Undergraduate,Others,Not in Full-time Employment,68
2015/16,The Hong Kong University of Science and Technology,Undergraduate,Underemployed,Not in Full-time Employment,75
2015/16,The Hong Kong University of Science and Technology,Undergraduate,Unemployed,Not in Full-time Employment,45
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Architects and Surveyors,1
2015/16,The University of Hong Kong,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Business Professionals,6
2015/16,The University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",5
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,2
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Engineers,12
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),1
2015/16,The University of Hong Kong,Research postgraduate,FT employment,"Insurance, Real Estate, and Business Services",1
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Legal Workers,1
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Managers,5
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,21
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,4
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,10
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,9
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Protective Service Workers,2
2015/16,The University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,8
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,142
2015/16,The University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,46
2015/16,The University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,32
2015/16,The University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,31
2015/16,The University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,15
2015/16,The University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,5
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Accountants and Auditors,1
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,69
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,2
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),3
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,68
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,15
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,16
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Other Service Workers,1
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Religious Workers,1
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,System Analysts and Computer Programmers,1
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,95
2015/16,The University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,51
2015/16,The University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,17
2015/16,The University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,4
2015/16,The University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,13
2015/16,The University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2015/16,The University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,131
2015/16,The University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,4
2015/16,The University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,95
2015/16,The University of Hong Kong,Undergraduate,FT employment,Artists,7
2015/16,The University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",41
2015/16,The University of Hong Kong,Undergraduate,FT employment,Business Professionals,446
2015/16,The University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,50
2015/16,The University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",46
2015/16,The University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,29
2015/16,The University of Hong Kong,Undergraduate,FT employment,Engineers,175
2015/16,The University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),37
2015/16,The University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",19
2015/16,The University of Hong Kong,Undergraduate,FT employment,Legal Workers,10
2015/16,The University of Hong Kong,Undergraduate,FT employment,Managers,47
2015/16,The University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,371
2015/16,The University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,66
2015/16,The University of Hong Kong,Undergraduate,FT employment,Other Service Workers,6
2015/16,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,22
2015/16,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,28
2015/16,The University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,32
2015/16,The University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,13
2015/16,The University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,70
2015/16,The University of Hong Kong,Undergraduate,FT employment,Teaching Profession,210
2015/16,The University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,379
2015/16,The University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,561
2015/16,The University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,76
2015/16,The University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,144
2015/16,The University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,17
2016/17,City University of Hong Kong,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2016/17,City University of Hong Kong,Research postgraduate,FT employment,Business Professionals,2
2016/17,City University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",1
2016/17,City University of Hong Kong,Research postgraduate,FT employment,Engineers,3
2016/17,City University of Hong Kong,Research postgraduate,FT employment,Managers,1
2016/17,City University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,2
2016/17,City University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2016/17,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,62
2016/17,City University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,17
2016/17,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,7
2016/17,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,43
2016/17,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,3
2016/17,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,10
2016/17,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,25
2016/17,City University of Hong Kong,Sub-degree,FT employment,Artists,1
2016/17,City University of Hong Kong,Sub-degree,FT employment,Business Professionals,5
2016/17,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,2
2016/17,City University of Hong Kong,Sub-degree,FT employment,Engineering Technicians,12
2016/17,City University of Hong Kong,Sub-degree,FT employment,Engineers,16
2016/17,City University of Hong Kong,Sub-degree,FT employment,Government Officials (General Grades),1
2016/17,City University of Hong Kong,Sub-degree,FT employment,Managers,2
2016/17,City University of Hong Kong,Sub-degree,FT employment,Other Professionals and Technical Workers,2
2016/17,City University of Hong Kong,Sub-degree,FT employment,Other Service Workers,1
2016/17,City University of Hong Kong,Sub-degree,FT employment,Production and Related Workers,1
2016/17,City University of Hong Kong,Sub-degree,FT employment,Protective Service Workers,1
2016/17,City University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,1
2016/17,City University of Hong Kong,Sub-degree,FT employment,Teaching Profession,1
2016/17,City University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,5
2016/17,City University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,190
2016/17,City University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,2
2016/17,City University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,10
2016/17,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,6
2016/17,City University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2016/17,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,28
2016/17,City University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,1
2016/17,City University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,6
2016/17,City University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,4
2016/17,City University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,3
2016/17,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,185
2016/17,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2016/17,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,4
2016/17,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,84
2016/17,City University of Hong Kong,Undergraduate,FT employment,Artists,56
2016/17,City University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",65
2016/17,City University of Hong Kong,Undergraduate,FT employment,Business Professionals,715
2016/17,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,128
2016/17,City University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",24
2016/17,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,50
2016/17,City University of Hong Kong,Undergraduate,FT employment,Engineers,259
2016/17,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),2
2016/17,City University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",34
2016/17,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,16
2016/17,City University of Hong Kong,Undergraduate,FT employment,Managers,76
2016/17,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,25
2016/17,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,74
2016/17,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,25
2016/17,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,21
2016/17,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,14
2016/17,City University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,6
2016/17,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,18
2016/17,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,40
2016/17,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,155
2016/17,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,155
2016/17,City University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,177
2016/17,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,290
2016/17,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,82
2016/17,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,258
2016/17,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,73
2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,1
2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Managers,1
2016/17,Hong Kong Baptist University,Research postgraduate,FT employment,Occupations not elsewhere classified,1
